,article_name,country,revision_id,article_quality_est.,population
108,Vlastimil Tusar,Czech Republic,784145485.0,Start,
109,Petr Bendl,Czech Republic,784826685.0,Start,
110,Petr Gandalovič,Czech Republic,784826720.0,Start,
111,Tomáš Vandas,Czech Republic,784968648.0,Start,
112,Robert Mayr-Harting,Czech Republic,785085345.0,Stub,
113,Karel Havlíček Borovský,Czech Republic,785407597.0,C,
114,Jan Černý,Czech Republic,786162238.0,Start,
115,Josef Frank (politician),Czech Republic,786399604.0,Stub,
116,Philip Kinsky of Wchinitz and Tettau,Czech Republic,786612217.0,Start,
117,Luboš Dobrovský,Czech Republic,787952395.0,Stub,
118,Bedřich Moldan,Czech Republic,787952868.0,Stub,
119,Martin Palouš,Czech Republic,788015952.0,Start,
120,Hermann Zwierzina,Czech Republic,788121309.0,Stub,
121,Eduard Zeman,Czech Republic,788178766.0,Stub,
122,Richard Bienert,Czech Republic,788410657.0,Start,
123,Václav Hampl,Czech Republic,789102318.0,Start,
124,Miroslav Grebeníček,Czech Republic,789546047.0,Stub,
125,Vlasta Štěpová,Czech Republic,789546066.0,Stub,
126,Egon Lánský,Czech Republic,789546079.0,Start,
127,Antonín Prachař,Czech Republic,789546102.0,Stub,
128,Milan Horálek,Czech Republic,789546147.0,Stub,
129,Antonín Novotný,Czech Republic,790372008.0,C,
130,Zuzana Brzobohatá,Czech Republic,790608148.0,Stub,
131,Alena Palečková,Czech Republic,790608180.0,Stub,
132,Zuzana Roithová,Czech Republic,790608186.0,Start,
133,"List of MPs elected in the Czech legislative election, 2017",Czech Republic,790838510.0,Stub,
134,Martin Jahn,Czech Republic,791374581.0,Start,
135,Pavel Rychetský,Czech Republic,792417439.0,Stub,
136,Gustáv Slamečka,Czech Republic,792476721.0,Start,
137,Edvard Kožušník,Czech Republic,793087579.0,Stub,
138,Jan Masaryk,Czech Republic,793642926.0,C,
139,Jan Koukal,Czech Republic,794146543.0,Stub,
140,Pavel Bém,Czech Republic,794995687.0,Start,
141,"List of MPs elected in the Czech legislative election, 2013",Czech Republic,795098385.0,C,
142,Vít Bárta,Czech Republic,795377941.0,Stub,
143,Karl Kautsky,Czech Republic,795807571.0,C,
144,Karl von Czyhlarz,Czech Republic,795809115.0,Stub,
145,Václav Fresl,Czech Republic,796253432.0,Stub,
146,Josef Václav Frič,Czech Republic,796403608.0,Start,
147,Tomáš Zdechovský,Czech Republic,796749458.0,C,
148,Andrea Češková,Czech Republic,796751775.0,Stub,
149,Dana Kuchtová,Czech Republic,796752629.0,Stub,
150,Rudolf Margolius,Czech Republic,796825099.0,C,
151,František Ladislav Rieger,Czech Republic,797539957.0,C,
152,Petr Mach,Czech Republic,797842545.0,Start,
153,Jaroslava Moserová,Czech Republic,798490261.0,Start,
154,Vávra Suk,Czech Republic,798648973.0,Stub,
155,Vojtěch Náprstek,Czech Republic,798686948.0,C,
156,Lubomír Štrougal,Czech Republic,798705619.0,Start,
157,Jan Krejčí,Czech Republic,798796793.0,B,
158,Radek John,Czech Republic,798944631.0,Stub,
159,Jan Jesenius,Czech Republic,799301686.0,C,
160,Josef Ježek,Czech Republic,800555146.0,Start,
161,Jana Bobošíková,Czech Republic,800754664.0,Start,
162,Franz Anton von Kolowrat-Liebsteinsky,Czech Republic,800883412.0,Start,
