,page,country,rev_id,prediction,FIPS,Type,TimeFrame,Data (M),Population,_merge
9492,"Nicolás de Carvajal, Marquis of Sarria",Spain,713823417.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9493,Isaías Carrasco,Spain,713831880.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9494,Gerardo Abad Conde,Spain,714881486.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9495,Manuel Aguirre de Tejada,Spain,714881614.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9496,Elías Ahúja y Andría,Spain,714881651.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9497,Luis Almarcha Hernández,Spain,714881875.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9498,Saturnino Álvarez Bugallal,Spain,714882032.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9499,José María Álvarez Mendizábal,Spain,714882041.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9500,Horacio Álvarez Mesa,Spain,714882087.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9501,Antonio Flores de Lemus,Spain,714882269.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9502,Antonio Aparisi Guijarro,Spain,714882378.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9503,Gabriel Arias-Salgado,Spain,714882530.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9504,Luis Armiñán Pérez,Spain,714882692.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9505,Lope de Ulloa y Lemos,Spain,715115501.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9506,Miguel Sebastián Gascón,Spain,715906259.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9507,"Bernardino Fernández de Velasco, 1st Duke of Frías",Spain,716580750.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9508,Duke of Franco,Spain,716842506.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9509,Juan Pérez-Caballero y Ferrer,Spain,717836271.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9510,Pío Gullón e Iglesias,Spain,717845860.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9511,"Ventura García-Sancho, Marquis of Aguilar de Campoo",Spain,717845897.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9512,Cristóbal Martín de Herrera,Spain,717847623.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9513,Antonio de Castro y Casaléiz,Spain,717848253.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9514,José Félix de Lequerica y Erquiza,Spain,717851974.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9515,José Gutiérrez de Agüera,Spain,717873866.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9516,Gaspar Rosés,Spain,717913694.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9517,Roger Albinyana i Saigí,Spain,717977304.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9518,Joaquín de Frías y Moya,Spain,718026752.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9519,Domingo Ram y Lanaja,Spain,718405459.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9520,Carlos Bustelo,Spain,718412196.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9521,Felipe Sánchez Román,Spain,718414096.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9522,Miguel Villanueva y Gómez,Spain,718414509.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9523,Nicomedes Pastor Díaz y Corbelle,Spain,718420185.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9524,Blas Villate,Spain,718848481.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9525,Bonifacio de Blas y Muñoz,Spain,718902530.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9526,Augusto Ulloa y Castañón,Spain,718902655.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9527,Claudio Antón de Luzuriaga,Spain,718902690.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9528,José Muro y López-Salgado,Spain,718992952.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9529,Eleuterio Maisonnave y Cutayar,Spain,718992989.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9530,Santiago Soler y Pla,Spain,718993091.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9531,Pedro Folc de Cardona,Spain,719131687.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9532,Josep Mestres i Miquel,Spain,719870413.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9533,Marquisate of Samaranch,Spain,719900981.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9534,Ramon de la Sota,Spain,720450107.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9535,Antonio María Martínez,Spain,720595760.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9536,Fernando Cos-Gayón,Spain,720797473.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9537,Graciano Atienza Fernández,Spain,720853085.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9538,Javier Pradera,Spain,720857191.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9539,Eleazar Huerta Valcárcel,Spain,720891775.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9540,Constantino Salinas,Spain,720924221.0,no_pred,ES,Country,2019.0,47.635,47635000.0,both
9541,Josep Maria Socías,Spain,721430046.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9542,Guillermo Morphy,Spain,722241363.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9543,Enric Masó i Vázquez,Spain,722634986.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9544,Pedro Santorromán,Spain,722994572.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9545,Luis Martínez Noval,Spain,723007323.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9546,Josep Maria Corredor i Pomés,Spain,723018230.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9547,Baldomero Fernández Ladreda,Spain,723679487.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9548,Heriberto Araújo,Spain,723790737.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9549,Juan Pablo Cardenal,Spain,723790749.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9550,Miguel Romero (activist),Spain,724057930.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9551,Albert Manent,Spain,724353673.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9552,"Francisco de Borja Queipo de Llano, 8th Count of Toreno",Spain,724695388.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9553,Alonso de Escobar y Cáceres,Spain,725226274.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9554,Leonardo Gribeo,Spain,725228850.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9555,Tomás Gómez Franco,Spain,725251757.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9556,José Ángel Cuerda,Spain,725329868.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9557,Pedro Gómez de Don Benito,Spain,725341055.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9558,Jaime Blanco García,Spain,725504701.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9559,José Manuel Aguirre Miramón,Spain,727346043.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9560,Fernando Talaverano Gallegos,Spain,727418855.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9561,Pedro de Herrera,Spain,727573664.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9562,"Mariano Roca de Togores, 1st Marquis of Molins",Spain,729070660.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9563,José Ignacio Ceniceros,Spain,729436228.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9564,Carmen Calleja,Spain,729793880.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9565,Manuel Argüelles Argüelles,Spain,729812171.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9566,Joaquín Abarca,Spain,729999103.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9567,Diego Thomas de Santuchos,Spain,730600018.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9568,Juan Jesús Vivas,Spain,730692172.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9569,Enrique Palacios Hernández,Spain,730694376.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9570,Pedro Sánchez Rendón,Spain,730969174.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9571,Melchor de Navarrete,Spain,731071632.0,C,ES,Country,2019.0,47.635,47635000.0,both
9572,Jordi Miralles,Spain,731788969.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9573,Juan de la Jaraquemada,Spain,732190131.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9574,Alonso de Escobar,Spain,732437615.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9575,Diego Pérez Moreno,Spain,732437774.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9576,Ángela Bachiller,Spain,734972535.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9577,Mateo Cañellas,Spain,735550015.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9578,Rosa Posada,Spain,735981338.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9579,Ramón Álvarez Valdés,Spain,736555491.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9580,List of viceroys of Aragon,Spain,737653031.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9581,Eduardo Asquerino,Spain,737914746.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9582,"Manuel de Mariátegui, 1st Count of San Bernardo",Spain,738176334.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9583,"Pedro Fernández de Velasco, 2nd Count of Haro",Spain,738605889.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9584,Miguel Laparra,Spain,738687775.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9585,Eusebio Sánchez Pareja,Spain,738704695.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9586,Heribert Barrera,Spain,738765577.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9587,Francesc de Paula Burguera,Spain,738846456.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9588,Narciso García-Loygorri,Spain,740177650.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9589,Gaspar de Borja y Velasco,Spain,740285239.0,C,ES,Country,2019.0,47.635,47635000.0,both
9590,Bartolome de Osuna,Spain,740573030.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9591,Kiko Argüello,Spain,740592107.0,C,ES,Country,2019.0,47.635,47635000.0,both
9592,Diego de Egües y Beaumont,Spain,740685612.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9593,Ramón Rubial,Spain,740862464.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9594,Víctor Lecumberri,Spain,740862597.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9595,Santiago Brouard,Spain,740863220.0,C,ES,Country,2019.0,47.635,47635000.0,both
9596,Andoni Ortuzar,Spain,740863444.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9597,José Luis de Arrese,Spain,740863625.0,B,ES,Country,2019.0,47.635,47635000.0,both
9598,Ibon Areso,Spain,740863636.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9599,Iñaki Antigüedad,Spain,740863643.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9600,Alberto Alcocer y Ribacoba,Spain,740863658.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9601,Ruy de Sosa,Spain,741037525.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9602,Mustafa Aberchán,Spain,741080300.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9603,Urania Mella Serrano,Spain,741498280.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9604,Antoni Siurana,Spain,742055701.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9605,Anton Roberto,Spain,742185111.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9606,Matías Alonso Ruiz,Spain,742486579.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9607,Enric Garriga i Trullols,Spain,742618230.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9608,Simón González de Acosta,Spain,743223673.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9609,Vicente Uribe,Spain,743313689.0,GA,ES,Country,2019.0,47.635,47635000.0,both
9610,Francisco de Santillán y Argote,Spain,743769815.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9611,Ramiriáñez Bravo de Saravia,Spain,743771342.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9612,Juan Luis de Camarena,Spain,743811136.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9613,Vicente Álvarez Areces,Spain,743857973.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9614,García Rodrígues,Spain,743907565.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9615,Bartolomé González de Villaverde,Spain,744272445.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9616,Pedro Menéndez Márquez,Spain,744586855.0,GA,ES,Country,2019.0,47.635,47635000.0,both
9617,Jesús Larrañaga,Spain,744926509.0,C,ES,Country,2019.0,47.635,47635000.0,both
9618,Joan Comorera,Spain,744926893.0,GA,ES,Country,2019.0,47.635,47635000.0,both
9619,Pedro de Olivera y Fullana,Spain,745106627.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9620,Jesús Aparicio-Bernal Sánchez,Spain,745632728.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9621,Miguel Castaño,Spain,745804975.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9622,Maximo de Meana y Guridi,Spain,745949135.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9623,Juan Luis Beigbeder y Atienza,Spain,745949895.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9624,Manuel Bermúdez de Castro y Díez,Spain,745950582.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9625,Tomás Menéndez Márquez,Spain,746269180.0,C,ES,Country,2019.0,47.635,47635000.0,both
9626,Hernando de Manrique de Rojas,Spain,746578994.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9627,Juan Menéndez Márquez,Spain,746592247.0,C,ES,Country,2019.0,47.635,47635000.0,both
9628,Joaquín Fernández Prida,Spain,746730575.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9629,Onésimo Redondo,Spain,747084117.0,C,ES,Country,2019.0,47.635,47635000.0,both
9630,Gabriel Maura,Spain,747441671.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9631,Fernando Claudín,Spain,747482388.0,C,ES,Country,2019.0,47.635,47635000.0,both
9632,Guillermo Fernández Vara,Spain,747601671.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9633,Alberto Ullastres,Spain,747810254.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9634,Diego Gutiérrez de Humanes,Spain,748041161.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9635,Francisco de Freytas,Spain,748058512.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9636,Juan Treviño de Guillamas,Spain,748591378.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9637,Manuel de Aróstegui Sáenz de Olamendi,Spain,749356888.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9638,Manuel Orallo,Spain,749379214.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9639,Carme Figueras,Spain,749706707.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9640,Manuel Jiménez de Parga,Spain,749998773.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9641,Luis Méndez de Haro,Spain,750684449.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9642,Pedro de la Roca de Borja,Spain,751303963.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9643,Jon Manteca,Spain,752440144.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9644,Daniel Sirera,Spain,753294800.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9645,Francisco de la Guerra y de la Vega,Spain,753445587.0,C,ES,Country,2019.0,47.635,47635000.0,both
9646,Juan Joseph de Erquicia,Spain,754136057.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9647,Joan Ribó,Spain,754698923.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9648,Pedro del Barrio Junco y Espriella,Spain,754804989.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9649,Antonio de Benavides,Spain,755845530.0,GA,ES,Country,2019.0,47.635,47635000.0,both
9650,Pilar Zabala Artano,Spain,756306982.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9651,Enma Iranzo Martín,Spain,756486858.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9652,José Luis Albareda y Sezde,Spain,756600813.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9653,Demetrio Alonso Castrillo,Spain,756600819.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9654,Juan Alvarado y del Saz,Spain,756600827.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9655,Diego Arias de Miranda,Spain,756600835.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9656,Pascual Amat y Esteve,Spain,756601201.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9657,Alonso Luján de Medina,Spain,757017956.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9658,Teófila Martínez,Spain,757269661.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9659,Pedro L. Marín,Spain,757280331.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9660,Juan Navarro-Reverter,Spain,757443215.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9661,"Emilio Alcalá-Galiano, 4th Count of Casa Valencia",Spain,757443912.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9662,"Fernando Calderón de la Barca, 1st Marquis of Reinosa",Spain,757443935.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9663,Servando Ruiz-Gómez y González-Llanos,Spain,757443957.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9664,Francisco Bergamín y García,Spain,757444106.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9665,Laureano López Rodó,Spain,757444324.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9666,Pedro Cortina y Mauri,Spain,757444349.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9667,Antonio de los Ríos Rosas,Spain,757444464.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9668,José Álvarez de Toledo y Acuña,Spain,757565440.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9669,Manuel Bertrán de Lis y Ribes,Spain,757565442.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9670,"Leopoldo Augusto de Cueto, 1st Marquis of Valmar",Spain,757565444.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9671,Isidro de Alaix Fábregas,Spain,757565445.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9672,Alejandro Llorente y Lannas,Spain,757565447.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9673,Ángel Calderón de la Barca y Belgrano,Spain,757565451.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9674,Luis Mayans y Enríquez de Navarra,Spain,757565465.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9675,Luis López de la Torre Ayllón y Kirsmacker,Spain,757565466.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9676,"Serafín María de Sotto, 3rd Count of Clonard",Spain,757565469.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9677,Ramón Bengaray Zabalza,Spain,757945463.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9678,José Ramón García Antón,Spain,757965319.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9679,Gregorio López-Bravo y Castro,Spain,758494589.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9680,List of Governors in the Viceroyalty of the Río de la Plata,Spain,758622769.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9681,Governor of Montevideo,Spain,758622822.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9682,Max Cahner,Spain,759147565.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9683,Jaume Collboni,Spain,759148584.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9684,Juan Astigarrabía,Spain,759285770.0,GA,ES,Country,2019.0,47.635,47635000.0,both
9685,Gerardo Pisarello,Spain,759384690.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9686,Mateo Gil (conquistador),Spain,759739810.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9687,Rafael Ribó,Spain,760190108.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9688,Javier Fernández (politician),Spain,761023103.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9689,Antonio Sedeño,Spain,761087542.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9690,Idoia Mendia,Spain,761714342.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9691,Jordi Arquer,Spain,762026056.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9692,Fidel Villarroel,Spain,763049548.0,C,ES,Country,2019.0,47.635,47635000.0,both
9693,Francisco del Moral y Sánchez,Spain,763068557.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9694,Clara Campoamor,Spain,763135195.0,C,ES,Country,2019.0,47.635,47635000.0,both
9695,Alberto Aguilera,Spain,763330071.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9696,Pablo de Olavide,Spain,764543907.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9697,Lucía Figar,Spain,764882422.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9698,Francisco Tadeo Calomarde y Arría,Spain,765437787.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9699,José Bono Martínez,Spain,766030635.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9700,Juan Espadas,Spain,766267888.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9701,Alejandro de Castro y Casal,Spain,766479090.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9702,Xosé Quiroga Suárez,Spain,767128764.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9703,"Iñigo López de Mendoza, Lord of Llodio",Spain,767246494.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9704,Rodrigo Alfonso de León,Spain,767247737.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9705,Rodrigo Núñez de Guzmán,Spain,767249102.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9706,Fernán Gutiérrez de Castro,Spain,767249440.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9707,"Pedro José Pidal, 1st Marquis of Pidal",Spain,767285221.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9708,Antonio Goicoechea,Spain,767285805.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9709,François Cabarrus,Spain,767328358.0,C,ES,Country,2019.0,47.635,47635000.0,both
9710,Alejandra Silva,Spain,767375019.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9711,Juan José de Vértiz y Salcedo,Spain,767687129.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9712,Faustino Rodríguez-San Pedro y Díaz-Argüelles,Spain,767772147.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9713,Alejandro Groizard y Gómez de la Serna,Spain,767773505.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9714,Agustín Argüelles,Spain,768087622.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9715,Francisco de Paredes,Spain,768402128.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9716,Pedro Bernáldez de Sahagún,Spain,768469806.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9717,"Domingo Dulce, 1st Marquis of Castell-Florite",Spain,768515186.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9718,Mateo González Manrique,Spain,768846410.0,GA,ES,Country,2019.0,47.635,47635000.0,both
9719,"Pedro Henriquez de Acevedo, Count of Fuentes",Spain,770222827.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9720,Diego Rodriguez de Valdés,Spain,770393559.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9721,Juan José Pujana,Spain,770474241.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9722,Jesús Eguiguren,Spain,770497988.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9723,Diego Clemencín,Spain,770893383.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9724,Antonio Ros de Olano,Spain,770933618.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9725,Juan Joseph de Iramain,Spain,770988943.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9726,Manuel Acero,Spain,771163630.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9727,Eugenio Vegas Latapie,Spain,771247839.0,C,ES,Country,2019.0,47.635,47635000.0,both
9728,Germán Gamazo,Spain,771281720.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9729,Manuel Prado y Colón de Carvajal,Spain,771858558.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9730,Antonio de Ulloa,Spain,772278194.0,C,ES,Country,2019.0,47.635,47635000.0,both
9731,Gil Álvarez Carrillo de Albornoz,Spain,772480056.0,C,ES,Country,2019.0,47.635,47635000.0,both
9732,Francisco de Córcoles y Martínez,Spain,773162928.0,C,ES,Country,2019.0,47.635,47635000.0,both
9733,Francisco Aparicio y Ruiz,Spain,773929695.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9734,"Zenón de Somodevilla, 1st Marqués de la Ensenada",Spain,774997587.0,C,ES,Country,2019.0,47.635,47635000.0,both
9735,Eduardo O'Gorman,Spain,775974956.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9736,Joaquín Chapaprieta,Spain,776027108.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9737,Ricardo Samper,Spain,776027115.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9738,Manuel Allendesalazar y Muñoz de Salazar,Spain,776027472.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9739,Francisco Silvela,Spain,776027694.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9740,José Posada Herrera,Spain,776027717.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9741,Emiliano García-Page,Spain,776399074.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9742,"Diego Dávila Mesía y Guzmán, 3rd Marquis of Leganés",Spain,776679120.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9743,Juan Donoso Cortés,Spain,776751637.0,C,ES,Country,2019.0,47.635,47635000.0,both
9744,List of viceroys of Sardinia,Spain,777295476.0,Start,ES,Country,2019.0,47.635,47635000.0,both
9745,Vicente Sancho y Cobertores,Spain,777386420.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9746,Joaquín Francisco Pacheco y Gutiérrez-Calderón,Spain,777386738.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9747,Eusebio Bardají y Azara,Spain,777386911.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9748,José María Calatrava y Peinado,Spain,777386925.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9749,Joaquín María de Ferrer y Cafranga,Spain,777386935.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9750,"Antonio González, 1st Marquis of Valdeterrazo",Spain,777386938.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9751,Evaristo Pérez de Castro y Brito,Spain,777386948.0,Stub,ES,Country,2019.0,47.635,47635000.0,both
9752,"Narciso Fernández de Heredia, 2nd Count of Heredia-Spínola",Spain,777386963.0,Start,ES,Country,2019.0,47.635,47635000.0,both
