,page,country,rev_id,prediction,FIPS,Type,TimeFrame,Data (M),Population,_merge
63,Mbaydoum Simeon,Chad,796690873.0,Stub,TD,Country,2019.0,16.877,16877000.0,both
64,Ngarindo Milengar,Chad,796700718.0,Stub,TD,Country,2019.0,16.877,16877000.0,both
65,List of Prime Ministers of Chad,Chad,797747674.0,Start,TD,Country,2019.0,16.877,16877000.0,both
66,Idriss Déby,Chad,798286150.0,C,TD,Country,2019.0,16.877,16877000.0,both
67,Saleh Kebzabo,Chad,798626040.0,C,TD,Country,2019.0,16.877,16877000.0,both
68,Moussa Faki,Chad,799043301.0,C,TD,Country,2019.0,16.877,16877000.0,both
69,Kalzeubet Pahimi Deubet,Chad,799413193.0,Stub,TD,Country,2019.0,16.877,16877000.0,both
70,Haroun Kabadi,Chad,799447895.0,Start,TD,Country,2019.0,16.877,16877000.0,both
71,Nagoum Yamassoum,Chad,799447995.0,Start,TD,Country,2019.0,16.877,16877000.0,both
72,Outel Bono,Chad,799448338.0,Start,TD,Country,2019.0,16.877,16877000.0,both
73,Ahmat Acyl,Chad,799902492.0,C,TD,Country,2019.0,16.877,16877000.0,both
74,Djimrangar Dadnadji,Chad,800133552.0,Start,TD,Country,2019.0,16.877,16877000.0,both
75,Delwa Kassiré Koumakoye,Chad,801029539.0,C,TD,Country,2019.0,16.877,16877000.0,both
76,Fidèle Moungar,Chad,801192255.0,C,TD,Country,2019.0,16.877,16877000.0,both
77,Jean Alingué Bawoyeu,Chad,801192303.0,B,TD,Country,2019.0,16.877,16877000.0,both
78,Emmanuel Nadingar,Chad,801573576.0,C,TD,Country,2019.0,16.877,16877000.0,both
79,Roger Djikisna,Chad,801583221.0,Stub,TD,Country,2019.0,16.877,16877000.0,both
80,Firmin Djidingar,Chad,801583260.0,Stub,TD,Country,2019.0,16.877,16877000.0,both
81,Idris I of Kanem,Chad,802874918.0,Stub,TD,Country,2019.0,16.877,16877000.0,both
82,Vice President of Chad,Chad,803166509.0,Stub,TD,Country,2019.0,16.877,16877000.0,both
83,Hissène Habré,Chad,803166806.0,GA,TD,Country,2019.0,16.877,16877000.0,both
84,Negue Djogo,Chad,803166989.0,Start,TD,Country,2019.0,16.877,16877000.0,both
85,Wadel Abdelkader Kamougué,Chad,803167152.0,C,TD,Country,2019.0,16.877,16877000.0,both
86,Félix Malloum,Chad,803167336.0,Start,TD,Country,2019.0,16.877,16877000.0,both
87,Lol Mahamat Choua,Chad,803167424.0,C,TD,Country,2019.0,16.877,16877000.0,both
88,Goukouni Oueddei,Chad,803167990.0,C,TD,Country,2019.0,16.877,16877000.0,both
89,Albert Pahimi Padacké,Chad,803433107.0,C,TD,Country,2019.0,16.877,16877000.0,both
90,List of heads of state of Chad,Chad,803812011.0,Start,TD,Country,2019.0,16.877,16877000.0,both
91,Elise Loum,Chad,804773540.0,Start,TD,Country,2019.0,16.877,16877000.0,both
92,Agnes Allafi,Chad,805493169.0,Start,TD,Country,2019.0,16.877,16877000.0,both
93,Christine Georges Diguibaye,Chad,806337653.0,Stub,TD,Country,2019.0,16.877,16877000.0,both
94,Pascal Yoadimnadji,Chad,806508985.0,Start,TD,Country,2019.0,16.877,16877000.0,both
95,Aissa Koli,Chad,806616268.0,Start,TD,Country,2019.0,16.877,16877000.0,both
96,Omar I of Kanem,Chad,807425129.0,Start,TD,Country,2019.0,16.877,16877000.0,both
97,Information Minister of the Palestinian National Authority,Palestinian Territory,393276188.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
98,Finance Minister of the Palestinian National Authority,Palestinian Territory,596181202.0,Start,PS,Country,2019.0,5.008,5008000.0,both
99,Planning Minister of the Palestinian National Authority,Palestinian Territory,633612729.0,Start,PS,Country,2019.0,5.008,5008000.0,both
100,Hossam Arafat (politician),Palestinian Territory,680933208.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
101,Tawfik Tirawi,Palestinian Territory,701106976.0,Start,PS,Country,2019.0,5.008,5008000.0,both
102,Isam al-Qadi,Palestinian Territory,706650943.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
103,Hussein al-Araj,Palestinian Territory,707669406.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
104,Mohammad Barghouti,Palestinian Territory,708269321.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
105,Ahmed Khalidi,Palestinian Territory,708495719.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
106,Health Minister of the Palestinian National Authority,Palestinian Territory,708817890.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
107,Qais Abd al-Karim,Palestinian Territory,709529097.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
108,Mahmoud Aloul,Palestinian Territory,709567584.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
109,Victor Batarseh,Palestinian Territory,709994434.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
110,Hanna Nasser (academic),Palestinian Territory,710133339.0,Start,PS,Country,2019.0,5.008,5008000.0,both
111,Anastas Hanania,Palestinian Territory,710390049.0,Start,PS,Country,2019.0,5.008,5008000.0,both
112,Joudeh George Murqos,Palestinian Territory,710676772.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
113,Ali al-Sartawi,Palestinian Territory,710990363.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
114,Jamal Tirawi,Palestinian Territory,712310215.0,Start,PS,Country,2019.0,5.008,5008000.0,both
115,Samir Abu Eisheh,Palestinian Territory,713203735.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
116,Sami Taha,Palestinian Territory,713505054.0,Start,PS,Country,2019.0,5.008,5008000.0,both
117,Ayyub Musallam,Palestinian Territory,714176771.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
118,Hajj Essa Hamed,Palestinian Territory,714181175.0,Start,PS,Country,2019.0,5.008,5008000.0,both
119,Hasan Tahboub,Palestinian Territory,714208891.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
